Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-04T22:00:00Z,1.28,3.96
CLE Cavaliers v MIA Heat,CLE Cavaliers,MIA Heat,2025-05-04T23:00:00Z,N/A,N/A
IND Pacers v MIL Bucks,IND Pacers,MIL Bucks,2025-05-04T23:00:00Z,N/A,N/A
LA Lakers v MIN Timberwolves,LA Lakers,MIN Timberwolves,2025-05-04T23:00:00Z,N/A,N/A
HOU Rockets v GS Warriors,HOU Rockets,GS Warriors,2025-05-05T00:30:00Z,1.77,2.164
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-05T23:00:00Z,1.244,4.337
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-06T01:30:00Z,1.243,4.347
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-07T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-08T01:30:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-09T23:30:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-10T02:00:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-11T19:30:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-12T00:00:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-12T23:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-13T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-13T23:00:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-15T23:00:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-16T23:00:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-16T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-17T23:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-18T23:00:00Z,N/A,N/A
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-20T00:00:00Z,N/A,N/A
