Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
DET Pistons v NY Knicks,DET Pistons,NY Knicks,2025-04-27T17:00:00Z,3.235,1.334
MIN Timberwolves v LA Lakers,MIN Timberwolves,LA Lakers,2025-04-27T19:30:00Z,1.741,2.214
ORL Magic v BOS Celtics,ORL Magic,BOS Celtics,2025-04-27T23:00:00Z,3.641,1.319
MIL Bucks v IND Pacers,MIL Bucks,IND Pacers,2025-04-28T01:30:00Z,1.598,2.483
MIA Heat v CLE Cavaliers,MIA Heat,CLE Cavaliers,2025-04-28T23:30:00Z,4.028,1.273
OKC Thunder v MEM Grizzlies,OKC Thunder,MEM Grizzlies,2025-04-28T23:30:00Z,N/A,N/A
GS Warriors v HOU Rockets,GS Warriors,HOU Rockets,2025-04-29T02:00:00Z,1.612,2.452
IND Pacers v MIL Bucks,IND Pacers,MIL Bucks,2025-04-29T22:00:00Z,N/A,N/A
NY Knicks v DET Pistons,NY Knicks,DET Pistons,2025-04-29T23:30:00Z,N/A,N/A
BOS Celtics v ORL Magic,BOS Celtics,ORL Magic,2025-04-30T00:30:00Z,N/A,N/A
DEN Nuggets v LA Clippers,DEN Nuggets,LA Clippers,2025-04-30T02:00:00Z,2.073,1.827
CLE Cavaliers v MIA Heat,CLE Cavaliers,MIA Heat,2025-04-30T23:00:00Z,N/A,N/A
HOU Rockets v GS Warriors,HOU Rockets,GS Warriors,2025-04-30T23:30:00Z,N/A,N/A
LA Lakers v MIN Timberwolves,LA Lakers,MIN Timberwolves,2025-05-01T02:00:00Z,N/A,N/A
DET Pistons v NY Knicks,DET Pistons,NY Knicks,2025-05-01T23:00:00Z,N/A,N/A
LA Clippers v DEN Nuggets,LA Clippers,DEN Nuggets,2025-05-01T23:00:00Z,N/A,N/A
MEM Grizzlies v OKC Thunder,MEM Grizzlies,OKC Thunder,2025-05-01T23:00:00Z,N/A,N/A
ORL Magic v BOS Celtics,ORL Magic,BOS Celtics,2025-05-01T23:00:00Z,N/A,N/A
MIA Heat v CLE Cavaliers,MIA Heat,CLE Cavaliers,2025-05-02T23:00:00Z,N/A,N/A
MIL Bucks v IND Pacers,MIL Bucks,IND Pacers,2025-05-02T23:00:00Z,N/A,N/A
MIN Timberwolves v LA Lakers,MIN Timberwolves,LA Lakers,2025-05-02T23:00:00Z,N/A,N/A
BOS Celtics v ORL Magic,BOS Celtics,ORL Magic,2025-05-03T23:00:00Z,N/A,N/A
DEN Nuggets v LA Clippers,DEN Nuggets,LA Clippers,2025-05-03T23:00:00Z,N/A,N/A
GS Warriors v HOU Rockets,GS Warriors,HOU Rockets,2025-05-03T23:00:00Z,N/A,N/A
NY Knicks v DET Pistons,NY Knicks,DET Pistons,2025-05-03T23:00:00Z,N/A,N/A
OKC Thunder v MEM Grizzlies,OKC Thunder,MEM Grizzlies,2025-05-03T23:00:00Z,N/A,N/A
CLE Cavaliers v MIA Heat,CLE Cavaliers,MIA Heat,2025-05-04T23:00:00Z,N/A,N/A
HOU Rockets v GS Warriors,HOU Rockets,GS Warriors,2025-05-04T23:00:00Z,N/A,N/A
IND Pacers v MIL Bucks,IND Pacers,MIL Bucks,2025-05-04T23:00:00Z,N/A,N/A
LA Lakers v MIN Timberwolves,LA Lakers,MIN Timberwolves,2025-05-04T23:00:00Z,N/A,N/A
