Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
LA Clippers v SA Spurs,LA Clippers,SA Spurs,2025-04-09T02:30:00Z,N/A,N/A
ORL Magic v BOS Celtics,ORL Magic,BOS Celtics,2025-04-09T23:00:00Z,N/A,N/A
WAS Wizards v PHI 76ers,WAS Wizards,PHI 76ers,2025-04-09T23:00:00Z,N/A,N/A
DAL Mavericks v LA Lakers,DAL Mavericks,LA Lakers,2025-04-09T23:30:00Z,N/A,N/A
TOR Raptors v CHA Hornets,TOR Raptors,CHA Hornets,2025-04-09T23:30:00Z,N/A,N/A
CHI Bulls v MIA Heat,CHI Bulls,MIA Heat,2025-04-10T00:00:00Z,N/A,N/A
UTA Jazz v POR Trail Blazers,UTA Jazz,POR Trail Blazers,2025-04-10T01:00:00Z,N/A,N/A
GS Warriors v SA Spurs,GS Warriors,SA Spurs,2025-04-10T02:00:00Z,N/A,N/A
PHX Suns v OKC Thunder,PHX Suns,OKC Thunder,2025-04-10T02:00:00Z,N/A,N/A
SAC Kings v DEN Nuggets,SAC Kings,DEN Nuggets,2025-04-10T02:00:00Z,N/A,N/A
LA Clippers v HOU Rockets,LA Clippers,HOU Rockets,2025-04-10T02:30:00Z,N/A,N/A
DET Pistons v NY Knicks,DET Pistons,NY Knicks,2025-04-10T23:00:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-04-10T23:00:00Z,N/A,N/A
BKN Nets v ATL Hawks,BKN Nets,ATL Hawks,2025-04-10T23:30:00Z,N/A,N/A
MIL Bucks v NO Pelicans,MIL Bucks,NO Pelicans,2025-04-11T00:00:00Z,N/A,N/A
MEM Grizzlies v MIN Timberwolves,MEM Grizzlies,MIN Timberwolves,2025-04-11T01:30:00Z,N/A,N/A
DET Pistons v MIL Bucks,DET Pistons,MIL Bucks,2025-04-11T23:00:00Z,N/A,N/A
IND Pacers v ORL Magic,IND Pacers,ORL Magic,2025-04-11T23:00:00Z,N/A,N/A
PHI 76ers v ATL Hawks,PHI 76ers,ATL Hawks,2025-04-11T23:00:00Z,N/A,N/A
BOS Celtics v CHA Hornets,BOS Celtics,CHA Hornets,2025-04-11T23:30:00Z,N/A,N/A
NY Knicks v CLE Cavaliers,NY Knicks,CLE Cavaliers,2025-04-11T23:30:00Z,N/A,N/A
CHI Bulls v WAS Wizards,CHI Bulls,WAS Wizards,2025-04-12T00:00:00Z,N/A,N/A
NO Pelicans v MIA Heat,NO Pelicans,MIA Heat,2025-04-12T00:00:00Z,N/A,N/A
DAL Mavericks v TOR Raptors,DAL Mavericks,TOR Raptors,2025-04-12T00:30:00Z,N/A,N/A
DEN Nuggets v MEM Grizzlies,DEN Nuggets,MEM Grizzlies,2025-04-12T01:00:00Z,N/A,N/A
MIN Timberwolves v BKN Nets,MIN Timberwolves,BKN Nets,2025-04-12T01:00:00Z,N/A,N/A
UTA Jazz v OKC Thunder,UTA Jazz,OKC Thunder,2025-04-12T01:30:00Z,N/A,N/A
PHX Suns v SA Spurs,PHX Suns,SA Spurs,2025-04-12T02:00:00Z,N/A,N/A
POR Trail Blazers v GS Warriors,POR Trail Blazers,GS Warriors,2025-04-12T02:00:00Z,N/A,N/A
SAC Kings v LA Clippers,SAC Kings,LA Clippers,2025-04-12T02:00:00Z,N/A,N/A
LA Lakers v HOU Rockets,LA Lakers,HOU Rockets,2025-04-12T02:30:00Z,N/A,N/A
ATL Hawks v ORL Magic,ATL Hawks,ORL Magic,2025-04-13T17:00:00Z,N/A,N/A
BKN Nets v NY Knicks,BKN Nets,NY Knicks,2025-04-13T17:00:00Z,N/A,N/A
BOS Celtics v CHA Hornets,BOS Celtics,CHA Hornets,2025-04-13T17:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-04-13T17:00:00Z,N/A,N/A
MIA Heat v WAS Wizards,MIA Heat,WAS Wizards,2025-04-13T17:00:00Z,N/A,N/A
MIL Bucks v DET Pistons,MIL Bucks,DET Pistons,2025-04-13T17:00:00Z,N/A,N/A
PHI 76ers v CHI Bulls,PHI 76ers,CHI Bulls,2025-04-13T17:00:00Z,N/A,N/A
GS Warriors v LA Clippers,GS Warriors,LA Clippers,2025-04-13T19:30:00Z,N/A,N/A
HOU Rockets v DEN Nuggets,HOU Rockets,DEN Nuggets,2025-04-13T19:30:00Z,N/A,N/A
MEM Grizzlies v DAL Mavericks,MEM Grizzlies,DAL Mavericks,2025-04-13T19:30:00Z,N/A,N/A
MIN Timberwolves v UTA Jazz,MIN Timberwolves,UTA Jazz,2025-04-13T19:30:00Z,N/A,N/A
NO Pelicans v OKC Thunder,NO Pelicans,OKC Thunder,2025-04-13T19:30:00Z,N/A,N/A
POR Trail Blazers v LA Lakers,POR Trail Blazers,LA Lakers,2025-04-13T19:30:00Z,N/A,N/A
SA Spurs v TOR Raptors,SA Spurs,TOR Raptors,2025-04-13T19:30:00Z,N/A,N/A
SAC Kings v PHX Suns,SAC Kings,PHX Suns,2025-04-13T19:30:00Z,N/A,N/A
