Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
IND Pacers v NY Knicks,IND Pacers,NY Knicks,2025-05-26T00:00:00Z,1.801,2.114
MIN Timberwolves v OKC Thunder,MIN Timberwolves,OKC Thunder,2025-05-27T00:30:00Z,2.363,1.652
IND Pacers v NY Knicks,IND Pacers,NY Knicks,2025-05-28T00:00:00Z,N/A,N/A
OKC Thunder v MIN Timberwolves,OKC Thunder,MIN Timberwolves,2025-05-29T00:30:00Z,N/A,N/A
NY Knicks v IND Pacers,NY Knicks,IND Pacers,2025-05-30T00:00:00Z,N/A,N/A
MIN Timberwolves v OKC Thunder,MIN Timberwolves,OKC Thunder,2025-05-31T00:30:00Z,N/A,N/A
IND Pacers v NY Knicks,IND Pacers,NY Knicks,2025-06-01T00:00:00Z,N/A,N/A
OKC Thunder v MIN Timberwolves,OKC Thunder,MIN Timberwolves,2025-06-02T00:00:00Z,N/A,N/A
IND Pacers v NY Knicks,IND Pacers,NY Knicks,2025-06-02T23:00:00Z,N/A,N/A
NY Knicks v IND Pacers,NY Knicks,IND Pacers,2025-06-03T00:00:00Z,N/A,N/A
