Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-09T00:30:00Z,1.185,5.237
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-09T23:30:00Z,2.283,1.694
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-10T02:00:00Z,2.781,1.492
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-10T19:30:00Z,2.971,1.441
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-11T00:30:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-11T19:30:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-12T00:00:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-12T23:30:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-13T02:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-14T00:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-14T00:30:00Z,N/A,N/A
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-15T00:00:00Z,N/A,N/A
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-15T00:30:00Z,N/A,N/A
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-16T00:00:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-16T00:30:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-17T00:00:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-17T23:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-18T23:00:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-18T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-18T23:00:00Z,N/A,N/A
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-20T00:00:00Z,N/A,N/A
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-21T00:30:00Z,N/A,N/A
